441723,4636340,HOMICIDE
445221,4624215,INTERFERENCE WITH PUBLIC OFFICER
445171,4623589,ARSON
437353,4636629,INTERFERENCE WITH PUBLIC OFFICER
437310,4639475,HOMICIDE
451361,4627288,HOMICIDE
441568,4625333,HOMICIDE
435745,4635609,ARSON
432914,4643650,ARSON
448062,4615631,ARSON
441445,4634466,HOMICIDE
445745,4615159,ARSON
440470,4638927,ARSON
448875,4625359,INTERFERENCE WITH PUBLIC OFFICER
447555,4623427,HOMICIDE
436525,4646721,HOMICIDE
448841,4625431,HOMICIDE
450095,4621842,HOMICIDE
441319,4636901,HOMICIDE
439764,4638726,INTERFERENCE WITH PUBLIC OFFICER
440584,4638076,INTERFERENCE WITH PUBLIC OFFICER
441798,4636805,INTERFERENCE WITH PUBLIC OFFICER
436487,4639532,ARSON
436919,4640255,HOMICIDE
455863,4616602,ARSON
452098,4623939,INTERFERENCE WITH PUBLIC OFFICER
440128,4635275,INTERFERENCE WITH PUBLIC OFFICER
439864,4638890,HOMICIDE
439719,4634907,HOMICIDE
445171,4623589,ARSON
447889,4617449,INTERFERENCE WITH PUBLIC OFFICER
445853,4621990,ARSON
447515,4618431,INTERFERENCE WITH PUBLIC OFFICER
445618,4624829,HOMICIDE
438026,4642950,ARSON
444280,4616901,INTERFERENCE WITH PUBLIC OFFICER
448968,4623087,INTERFERENCE WITH PUBLIC OFFICER
446033,4623846,HOMICIDE
435823,4638783,INTERFERENCE WITH PUBLIC OFFICER
447665,4614760,ARSON
444842,4622221,ARSON
439719,4634915,HOMICIDE
436605,4639296,HOMICIDE
449584,4622059,HOMICIDE
443815,4640112,INTERFERENCE WITH PUBLIC OFFICER
445743,4646281,ARSON
444991,4624497,INTERFERENCE WITH PUBLIC OFFICER
448038,4616576,ARSON
451325,4621852,ARSON
438357,4629586,HOMICIDE
445149,4621796,HOMICIDE
455048,4614971,INTERFERENCE WITH PUBLIC OFFICER
445277,4623893,INTERFERENCE WITH PUBLIC OFFICER
448838,4610869,HOMICIDE
448844,4625262,INTERFERENCE WITH PUBLIC OFFICER
437847,4638896,ARSON
446065,4626327,INTERFERENCE WITH PUBLIC OFFICER
449763,4622137,INTERFERENCE WITH PUBLIC OFFICER
449779,4630149,HOMICIDE
448968,4615179,HOMICIDE
437226,4640107,HOMICIDE
444662,4628861,INTERFERENCE WITH PUBLIC OFFICER
453429,4622301,INTERFERENCE WITH PUBLIC OFFICER
446462,4627101,INTERFERENCE WITH PUBLIC OFFICER
449852,4617221,INTERFERENCE WITH PUBLIC OFFICER
444718,4621866,INTERFERENCE WITH PUBLIC OFFICER
441794,4633868,ARSON
440777,4638717,ARSON
447880,4621417,HOMICIDE
450575,4626915,ARSON
441308,4645739,INTERFERENCE WITH PUBLIC OFFICER
440650,4641248,ARSON
440569,4640371,ARSON
453997,4622379,INTERFERENCE WITH PUBLIC OFFICER
447741,4616509,INTERFERENCE WITH PUBLIC OFFICER
440537,4634261,HOMICIDE
442731,4629476,HOMICIDE
442731,4629476,HOMICIDE
436908,4638055,HOMICIDE
432966,4644415,HOMICIDE
437060,4627775,HOMICIDE
441309,4625472,ARSON
447869,4617044,HOMICIDE
447869,4617044,HOMICIDE
447869,4617044,HOMICIDE
447869,4617044,HOMICIDE
452430,4620481,INTERFERENCE WITH PUBLIC OFFICER
445768,4620807,INTERFERENCE WITH PUBLIC OFFICER
441380,4644902,HOMICIDE
450014,4629523,HOMICIDE
439483,4634560,ARSON
440567,4640485,ARSON
444498,4625626,ARSON
437344,4637106,INTERFERENCE WITH PUBLIC OFFICER
448731,4632176,INTERFERENCE WITH PUBLIC OFFICER
438694,4636173,INTERFERENCE WITH PUBLIC OFFICER
440518,4622121,ARSON
447019,4623108,INTERFERENCE WITH PUBLIC OFFICER
439936,4634030,ARSON
454033,4622321,HOMICIDE
438772,4636824,INTERFERENCE WITH PUBLIC OFFICER
437329,4637897,HOMICIDE
437329,4637897,HOMICIDE
448138,4616531,INTERFERENCE WITH PUBLIC OFFICER
455576,4618864,INTERFERENCE WITH PUBLIC OFFICER
447632,4638880,INTERFERENCE WITH PUBLIC OFFICER
452097,4624032,INTERFERENCE WITH PUBLIC OFFICER
440422,4615754,ARSON
441806,4630426,HOMICIDE
444563,4620182,HOMICIDE
435879,4639848,HOMICIDE
439643,4624349,ARSON
455573,4618291,INTERFERENCE WITH PUBLIC OFFICER
441765,4635894,ARSON
453518,4622977,HOMICIDE
442147,4627597,HOMICIDE
445913,4615498,HOMICIDE
453703,4622376,HOMICIDE
449803,4620817,HOMICIDE
449803,4620817,HOMICIDE
438854,4638399,HOMICIDE
440474,4638699,INTERFERENCE WITH PUBLIC OFFICER
444548,4626311,INTERFERENCE WITH PUBLIC OFFICER
454165,4618687,INTERFERENCE WITH PUBLIC OFFICER
438681,4638396,INTERFERENCE WITH PUBLIC OFFICER
444455,4629236,HOMICIDE
449849,4611820,INTERFERENCE WITH PUBLIC OFFICER
446002,4626405,INTERFERENCE WITH PUBLIC OFFICER
437357,4636412,INTERFERENCE WITH PUBLIC OFFICER
448843,4625285,HOMICIDE
442767,4626646,INTERFERENCE WITH PUBLIC OFFICER
440732,4634797,INTERFERENCE WITH PUBLIC OFFICER
438169,4636430,INTERFERENCE WITH PUBLIC OFFICER
432118,4647566,INTERFERENCE WITH PUBLIC OFFICER
443461,4628733,INTERFERENCE WITH PUBLIC OFFICER
439517,4626437,ARSON
448445,4625683,HOMICIDE
438077,4638388,HOMICIDE
441363,4633090,ARSON
